id,depo,distance,centroidX,centroidY,centroidZ
m01,1.17042,9.23093076,20.6727,10.2693,9.04481
m01,1.30936,12.54030534,15.7917,13.7069,6.57673
m01,0.846097,11.3586356,17.353,12.1347,7.39256
m01,0.894087,10.0929721,18.2971,11.2709,8.46781
m01,1.65256,3.916241721,19.3839,10.2568,14.5283
m01,1.15651,14.30086996,18.8717,14.2332,4.76559
m01,1.19693,5.788581529,18.7724,12.7646,13.1657
m01,0.979997,16.46943649,18.1705,14.6713,2.66772
m01,0.945936,7.923005788,8.15793,11.1007,11.051
m01,1.01069,8.717111921,7.99368,12.809,10.6051
m01,1.41757,6.785135813,11.242,15.5901,13.0385
m01,1.30426,5.092773295,11.2639,13.2685,14.2795
m01,1.66671,5.368935979,12.0268,14.8071,14.291
m01,1.96302,2.879144212,11.0304,13.2805,16.5551
m01,1.08524,3.053789599,11.8135,8.23842,15.2838
m01,1.55031,4.869076194,9.62205,12.0865,14.3241
m01,1.31048,2.186420301,11.957,10.2922,16.5977
m01,0.963678,1.756671298,13.2463,9.24248,16.7653
m01,1.08675,8.479528614,10.8051,16.2716,11.4664
m01,1.01783,6.761206238,9.03391,9.71686,11.9132
m01,1.2312,5.029169364,9.96866,9.47951,13.5977
m01,1.00193,6.995623028,9.08366,11.9615,12.1442
m01,1.79725,2.818733635,12.0787,14.0847,16.7449
m01,1.76964,4.342800178,9.70173,13.5202,15.1611
m01,1.81377,1.706882291,12.7485,11.0581,17.2182
m01,1.81867,1.662270484,12.3246,12.9958,17.6886
m01,1.04116,5.737743948,9.7726,8.67664,12.7117
m01,0.681886,4.196588446,12.1482,11.9529,14.8841
m01,1.19226,10.31960819,9.97339,16.4417,9.65318
m01,1.31207,8.13387244,9.49647,15.2136,11.6487
m01,1.0481,4.75131999,13.3581,14.8416,14.8774
m01,1.20958,9.300843683,8.2108,14.1953,10.2915
m01,0.843392,7.151765136,11.0532,14.1722,12.3724
m01,1.4043,2.991593247,10.912,10.8038,15.9232
m01,1.48761,6.690721751,9.42045,13.9823,12.8683
m01,1.01601,6.086730967,10.6338,12.3457,13.0935
